main_id sp_type plx_value plx_err teff logg fe_h vmag kmag
"HD  13350" G8IV(+F) 12.1502 0.015699999406933784 5700.4 4.344599914550781 0.4099999964237213 8.930000305175781 7.236000061035156
"HD  93396" G8/K0IV 10.0049 0.02019999921321869 5368.333333333333 3.7675000031789145 0.27000000576178235 8.039999961853027 6.122000217437744
TOI-3855 "" 3.1194 0.028599999845027924 "" "" "" 14.552000045776367 11.805000305175781
"UCAC4 535-007169" "" 1.3125 0.01720000058412552 6177.0 3.7881999015808105 -0.18199999630451202 12.630999565124512 10.87600040435791
Kepler-1698 "" 4.5284 0.011500000022351742 5016.285714285715 4.591000080108643 0.06185714261872428 "" 10.914999961853027
"1SWASP J041100.96+221931.2" "" "" "" 6335.0 4.413000106811523 0.20200000703334808 12.829999923706055 10.708999633789062
"UCAC4 558-039569" "" 2.4773 0.01590000092983246 "" "" "" 12.42199993133545 11.04800033569336
"HD 138965" A1V 12.7224 0.02800000086426735 "" "" "" 6.423999786376953 6.26800012588501
"HD 208742" K5 3.2793 0.024000000208616257 4618.0 2.8399999141693115 -0.4099999964237213 6.480000019073486 2.565999984741211
"[M60b]+30  53" F5 2.0938 0.06599999964237213 "" "" "" 11.907999992370605 10.539999961853027
TOI-3095 "" 1.8433 0.01140000019222498 "" "" "" 13.763999938964844 11.928000450134277
"UCAC4 346-056492" "" 0.9223 0.01600000075995922 "" "" "" 13.616999626159668 12.0600004196167
"TYC 8894-472-1" "" 2.3815 0.028999999165534973 6518.666666666667 4.093799908955892 -0.5064999908208847 10.479999542236328 9.86299991607666
TOI-2624 "" 2.5443 0.01269999984651804 5236.0 4.633999824523926 -0.10999999940395355 "" 11.996000289916992
"HD 251402" G5 11.393 0.014499999582767487 "" "" "" "" 8.609000205993652
"UCAC4 578-036142" "" 1.6725 0.014299999922513962 "" "" "" 12.538999557495117 11.39799976348877
TOI-3554 "" "" "" "" "" "" 13.932999610900879 12.262999534606934
"UCAC4 493-001317" "" 1.8055 0.035599999129772186 "" "" "" 13.17300033569336 11.484999656677246
"UCAC4 591-053117" "" 1.46 0.013399999588727951 "" "" "" 13.173999786376953 11.505000114440918
"UCAC4 642-120566" "" 1.9792 0.02160000056028366 "" "" "" 13.99899959564209 11.982999801635742
KOI-4926 "" 1.6092 0.025100000202655792 4902.333333333333 4.600459861755371 -0.07769999994585912 "" 13.288999557495117
KOI-4854 "" 1.8472 0.013199999928474426 5212.0 4.5 0.07999999821186066 "" 12.51099967956543
KOI-5939 "" 1.2016 0.011300000362098217 5987.333333333333 4.297033309936523 0.008283331990242004 "" 12.479999542236328
"UCAC4 265-026483" "" 0.8767 0.011300000362098217 "" "" "" 13.50100040435791 12.267999649047852
"UCAC4 538-048400" "" "" "" 5559.0 4.110000133514404 -0.14399999380111694 12.854000091552734 11.090999603271484
"UCAC4 604-135894" "" 6.9024 0.014800000004470348 "" "" "" 14.159000396728516 10.618000030517578
"UCAC4 291-050289" "" 2.1619 0.013700000010430813 "" "" "" 13.887999534606934 12.005999565124512
TOI-4069 "" 2.2734 0.014100000262260437 "" "" "" 13.8100004196167 11.854000091552734
"UCAC4 657-056046" "" 2.4553 0.02419999986886978 "" "" "" 14.781000137329102 12.173999786376953
KOI-6489 "" 0.9149 0.012000000104308128 5662.0 4.039999961853027 0.20000000298023224 "" 12.024999618530273
"UCAC4 737-060939" "" 2.3057 0.010999999940395355 "" "" "" 13.61400032043457 11.75
"BD+58   662" G0V 4.4785 0.0957999974489212 "" "" "" 10.739999771118164 9.041999816894531
TOI-3974 "" 2.1537 0.013899999670684338 "" "" "" 14.201000213623047 12.085000038146973
"2MASS J01265299-6838032" M4.5 23.112 0.01590000092983246 "" "" "" "" 10.199999809265137
"CD-40  8513" "" 4.6102 0.022600000724196434 "" "" "" 10.699999809265137 9.253000259399414
KOI-7383 "" 0.3497 0.01979999989271164 5295.0 4.139999866485596 0.12999999523162842 "" 13.223999977111816
"NAME MOA-bin-29" "" 0.0445 0.08720000088214874 "" "" "" "" ""
"BD+76   227" G5 12.3247 0.010300000198185444 5694.333333333333 4.4730000495910645 0.13233333577712378 9.539999961853027 7.959000110626221
KOI-2486 "" 2.0868 0.5121999979019165 6029.833333333333 4.155399990081787 0.10660000145435333 13.079999923706055 11.706999778747559
KOI-1066 "" 0.6884 0.02800000086426735 "" "" "" "" 13.859999656677246
KOI-7282 "" 1.5134 0.023499999195337296 4929.5 4.504299998283386 0.29430000483989716 "" 13.21500015258789
Kepler-1497 "" 0.3102 0.11980000138282776 5621.666666666667 4.356666723887126 0.050000000124176346 "" 13.699000358581543
KOI-6819 F6IV 3.3115 0.012500000186264515 6249.5 4.0899999141693115 -0.19500000029802322 11.399999618530273 10.206000328063965
TOI-3179 "" "" "" "" "" "" 12.564000129699707 10.736000061035156
"UCAC4 463-127280" "" 1.4796 0.017100000753998756 "" "" "" 14.074999809265137 12.28600025177002
TOI-3444 "" 2.0369 0.016899999231100082 "" "" "" 12.685999870300293 10.70199966430664
K2-419 M0V 3.7873 0.03689999878406525 3751.0 2.3919998854398727 -0.14500000327825546 16.579999923706055 12.555000305175781
TOI-2747 "" 0.9673 0.020800000056624413 "" "" "" 13.454999923706055 11.755000114440918
KOI-5613 "" 0.8746 0.023000000044703484 5561.142857142857 4.322999993960063 0.10890000127255917 "" 13.777999877929688
"UCAC4 536-151082" "" 3.8635 0.015599999576807022 "" "" "" 13.829999923706055 11.269000053405762
"TYC  625-1372-1" "" 1.8042 0.54830002784729 "" "" "" 12.220000267028809 10.83899974822998
KOI-4504 "" 0.8564 0.026499999687075615 "" "" "" "" 13.989999771118164
"CD-81   614" "" 4.8628 0.013500000350177288 "" "" "" 10.15999984741211 9.071999549865723
"[LAB2024] 4" L "" "" "" "" "" "" ""
"[PS78] 191" M3.5V 29.6409 0.027300000190734863 3200.0 1.0 "" 14.239999771118164 9.197999954223633
"WISEP J062309.94-045624.6" T8 86.5 1.7000000476837158 "" "" "" "" 17.799999237060547
"UCAC4 567-102792" "" 2.3365 0.01360000018030405 "" "" "" "" 9.88700008392334
"V* T Tau" K0IV/Ve 6.8901 0.037700001150369644 5036.0 3.7333333492279053 -0.14300000667572021 10.119999885559082 5.324999809265137
TOI-2269 "" 12.1072 0.013299999758601189 "" "" "" 13.468000411987305 9.928000450134277
TOI-3003 "" 1.4475 0.009800000116229057 "" "" "" 12.388999938964844 10.87399959564209
"HD 188394" F7/8V 7.0359 0.16200000047683716 5746.0 4.524333318074544 0.050999999046325684 10.230999946594238 8.734999656677246
TOI-3792 "" 1.7332 0.032999999821186066 "" "" "" 13.34000015258789 11.793000221252441
KOI-7088 "" 0.865 0.025100000202655792 "" "" "" "" 13.76099967956543
TOI-1293 "" 4.227 0.016300000250339508 "" "" "" 11.649999618530273 9.928999900817871
KOI-4253 "" 0.8213 0.013899999670684338 5859.0 3.988159942626953 -0.1675800010561943 "" 12.907999992370605
TOI-4058 "" "" "" "" "" "" 14.055000305175781 11.909000396728516
"UCAC4 367-068655" "" 7.6776 0.052400000393390656 "" "" "" "" 11.98799991607666
"UCAC4 035-013575" "" 26.8268 0.017100000753998756 "" "" "" 13.914999961853027 9.446999549865723
"UCAC4 547-020307" "" 1.5003 0.012900000438094139 "" "" "" 13.291000366210938 11.8149995803833
"ATO J292.2446+38.9231" "" 2.1986 0.013000000268220901 4550.5 4.516499996185303 -0.050999999046325684 "" 11.729999542236328
"UCAC4 753-055579" "" 2.0909 0.05220000073313713 "" "" "" 13.553000450134277 11.751999855041504
KOI-6763 "" 3.2296 0.00839999970048666 5772.5 4.423500061035156 0.06051666848361492 12.279999732971191 10.675999641418457
"UCAC4 320-066361" "" 2.0875 0.020600000396370888 "" "" "" 12.11299991607666 10.428999900817871
TOI-3130 "" 0.5883 0.016499999910593033 "" "" "" 14.409000396728516 12.045999526977539
TOI-2092 G4 5.6461 0.013299999758601189 5537.6 4.442339992523193 -0.17724000066518783 11.300000190734863 9.581000328063965
TOI-4059 "" 2.9516 0.011800000444054604 "" "" "" 13.958000183105469 11.635000228881836
"BD+41  4310" G0 10.7134 0.011500000022351742 "" "" "" 9.6899995803833 8.123000144958496
"2MASS J13534190-0045586" M2.5 14.8315 0.024000000208616257 "" "" "" "" 9.810999870300293
"LEHPM 2422" "" 29.7898 0.015599999576807022 3431.714285714286 2.005857152598245 "" "" 9.76200008392334
"TYC 7148-1718-1" "" 1.717 0.010300000198185444 "" "" "" 12.369999885559082 11.234000205993652
TOI-919 "" 3.0262 0.18050000071525574 5791.5 4.286400079727173 -0.20229999721050262 11.279999732971191 10.192999839782715
KOI-2324 "" "" "" 5780.0 2.549999952316284 "" "" 14.529999732971191
TOI-4006 "" 1.1364 0.05350000038743019 "" "" "" 14.072999954223633 10.788999557495117
KOI-4363 "" 0.8175 0.0357000008225441 "" "" "" "" 13.942999839782715
TOI-3120 "" 1.1536 0.1371999979019165 "" "" "" 13.557000160217285 12.196999549865723
KOI-3401 G1 1.286 0.031300000846385956 5702.666666666667 4.239999930063884 -0.016666666294137638 14.579999923706055 12.732000350952148
"ASR  63" M7.5V "" "" 6014.0 2.3576666514078775 -0.5529999732971191 "" 14.0
TOI-2821 "" 1.0877 0.012199999764561653 "" "" "" 13.739999771118164 11.590999603271484
TOI-3936 "" 1.5432 0.3763999938964844 "" "" "" 13.206000328063965 11.350000381469727
"UCAC4 219-179172" "" 2.9583 0.020600000396370888 "" "" "" 11.244000434875488 9.753999710083008
"V* FU Tau" M7.25 7.8354 0.07540000230073929 4073.0 4.0329999923706055 -0.10499999672174454 "" 9.324000358581543
"UCAC4 615-035460" "" 1.6092 0.019099999219179153 "" "" "" 14.095999717712402 12.317000389099121
TOI-4166 "" 3.8707 0.009700000286102295 "" "" "" 12.710000038146973 10.517000198364258
"UCAC4 531-047680" "" 3.4399 0.013399999588727951 5530.0 4.458899974822998 0.056749999057501554 12.550000190734863 10.843000411987305
TOI-3911 "" 4.5505 0.01080000028014183 "" "" "" 12.260000228881836 10.418999671936035
"HD  87656" F6V 14.0279 0.04089999943971634 6388.5 "" "" 7.949999809265137 6.809999942779541
TOI-613 "" 4.6218 0.019700000062584877 5002.705882352941 3.688705893123851 -0.12074999790638685 10.779999732971191 8.590999603271484
"UCAC4 559-105677" "" 2.1336 0.041099999099969864 "" "" "" 14.343000411987305 11.873000144958496
TOI-4996 "" 0.9389 0.010400000028312206 "" "" "" 13.347000122070312 11.76200008392334
TOI-3803 "" 0.9372 0.014700000174343586 "" "" "" 11.729999542236328 11.529999732971191
TOI-3826 "" 2.1146 0.015399999916553497 "" "" "" 13.465999603271484 11.574000358581543
"UCAC4 668-091402" "" 1.9448 0.013799999840557575 "" "" "" 12.800999641418457 11.472000122070312
"TYC 9071-523-1" "" 8.0191 0.026900000870227814 4863.0 4.436333338419597 0.23899999260902405 11.930000305175781 9.213000297546387
"UCAC4 533-135995" "" 2.5008 0.011699999682605267 "" "" "" 12.873000144958496 11.380999565124512
TOI-5464 "" 3.4814 0.053199999034404755 "" "" "" "" 12.734999656677246
"UCAC4 474-001525" "" 3.1448 0.02239999920129776 "" "" "" 14.041000366210938 11.654000282287598
"TYC 6226-1664-1" "" 1.4678 0.016699999570846558 6902.6 3.6950000286102296 0.08399999514222145 10.819999694824219 9.232999801635742
KMT-2021-BLG-0192 "" "" "" "" "" "" "" ""
"TYC 6882-198-1" "" 4.7211 0.01640000008046627 5608.0 4.460000038146973 "" 12.029999732971191 10.020999908447266
"Cl* NGC 2682    FBC    3733" "" 1.0844 0.148499995470047 "" "" "" "" 14.770000457763672
"* omi02 Eri" K0V 199.608 0.12080000340938568 5124.194029850746 4.354196446282523 -0.15420689555848466 4.429999828338623 2.4100000858306885
TOI-1804 G7 7.2089 0.013500000350177288 5555.0 4.4263332684834795 0.1816666672627131 10.630000114440918 9.092000007629395
Kepler-1569 F5V 1.0664 0.012799999676644802 6112.846153846154 4.29824165503184 0.10129285723503147 "" 12.59000015258789
KOI-4398 "" 1.0265 0.024900000542402267 "" "" "" "" 13.708000183105469
"UCAC4 552-072697" "" 2.3584 0.05270000174641609 "" "" "" "" 11.093000411987305
"TYC 8603-922-1" "" 2.7941 0.010700000450015068 "" "" "" 12.739999771118164 10.954999923706055
TOI-1727 "" 8.7282 0.013899999670684338 "" "" "" 10.3100004196167 8.706000328063965
"HD 218396" F0+VkA5mA5 24.462 0.045499999076128006 7257.0 4.167999982833862 -0.5766666630903879 5.953000068664551 5.239999771118164
"[CSM2024] z7 F410M  4" T5-7 "" "" 977.0 4.914999961853027 "" "" ""
"UCAC4 536-049646" "" 6.7975 0.01889999955892563 4432.0 4.650000095367432 -0.5099999904632568 12.677000045776367 10.295999526977539
"UCAC4 174-179953" "" 0.594 0.020500000566244125 6050.0 3.4800000190734863 1.7300000190734863 "" 12.45199966430664
"UCAC4 629-033565" "" 1.9212 0.013799999840557575 "" "" "" 13.635000228881836 ""
"UCAC4 329-172005" "" 0.08 0.051500000059604645 4397.0 0.8688499927520752 -1.67849999666214 13.503000259399414 9.77400016784668
TOI-1782 "" 10.5329 0.011099999770522118 "" "" "" 12.409000396728516 9.552000045776367
"[DRS2009] 2578" "" "" "" "" "" "" "" ""
"UCAC4 474-001518" "" 2.1668 0.07289999723434448 5804.0 4.090000152587891 -0.07999999821186066 12.07800006866455 10.548999786376953
Kepler-853 F5 1.7367 0.010099999606609344 6279.545454545455 4.230999994277954 0.09862499940209091 12.331000328063965 11.151000022888184
"TYC 1284-1065-1" "" 3.4398 0.019700000062584877 5992.5 4.189300060272217 -0.08049999922513962 12.180000305175781 10.364999771118164
TOI-4874 "" 0.6235 0.01360000018030405 "" "" "" 13.402999877929688 12.14900016784668
"HD 184960" F7V 39.3227 0.02800000086426735 6259.928571428572 4.2521388795640735 -0.11052399918437004 "" 4.49399995803833
"UCAC4 428-006077" "" 0.8329 0.019600000232458115 "" "" "" 14.350000381469727 12.246999740600586
"PSR B1937+21.4" "" "" "" "" "" "" "" ""
"HD   5773" F2II/III 3.4407 0.01510000042617321 6292.0 3.587649941444397 0.33799999952316284 8.479999542236328 7.4029998779296875
