    star_name|sy_dist|st_spectype|st_rad|st_teff|st_mass|st_age|ra|dec|sy_vmag|sy_jmag|sy_hmag|sy_kmag|known_binary_fl|gaia_binary_fl|WDSsep|wds_deltamag
TIC 159523958|17.693|A5IV(n)|2.549589769549645|7973.7|1.9197874623452853|null|168.527155|20.523814|null|null|null|null|1|0|202.7|8.329999999999998
TIC 30504485|27.314941272876265|A2.5Va|3.3485739772996626|8670.0|2.1701995372510785|null|285.652919|-29.880115|null|null|null|null|1|0|0.2|0.2099999999999999
TIC 91356756|18.26817683595177|kA4hA5mA5Va|2.290051407921544|8318.0|2.0507441712503858|null|28.660037|20.808067|null|null|null|null|1|0|0.1|2.6
TIC 279316667|30.96934035305048|B6V|4.172099777380602|12882.0|3.5210485369595137|null|332.058289|-46.960987|null|null|null|null|1|0|28.5|10.56
TIC 155842257|13.6306|kA5hF0mF2III|2.16349244158464|7021.0|1.5468534111914067|null|326.7601575989|-16.12733287612|null|null|null|null|1|1|49.9|12.13
TIC 386886963|23.66863905325444|kA2hA5mA4IV-V|2.972971303834733|8241.0|2.022736382246387|null|222.719715|-16.041771|null|null|null|null|1|0|0.0|0.4000000000000003
TIC 248409489|27.5896|A3IV|3.921896447003346|7500.0|1.728065133395401|null|76.96247|-5.086396|2.777714729309082|2.777714729309082|2.777714729309082|2.777714729309082|1|1|118.3|8.11
TIC 91329515||null||||null|28.382542|19.295002|null|null|null|null|0|0|null|null
TIC 63584475|38.89537145079736|A5III|4.844722239859454|7600.0|1.768309982569675|null|32.385989|34.987289|null|null|null|null|0|0|null|null
TIC 17668155|37.6372|A0VpSiEu|2.9363091257194376|11300.0|2.9668188730886245|null|194.00689284559|38.31835837138|2.904393196105957|2.904393196105957|2.904393196105957|2.904393196105957|1|1|19.3|2.6699999999999995
TIC 228896480|15.372790161414295|F1IV-V(n)|1.9062717038457369|7087.4|1.5712641102116738|null|291.374622|3.114787|null|null|null|null|1|0|0.1|null
TIC 341873045|8.3|F7V|1.3258222158964716|6101.0|1.08|4.86|275.264244|72.732873|3.3877174854278564|3.3877174854278564|3.3877174854278564|3.3877174854278564|1|1|0.1|2.1300000000000003
TIC 346783960|27.570995312930798|B8V|2.377471323993347|12445.0|3.362397028414652|null|47.04222797272|40.95564357022|4.40973|4.40973|4.40973|4.40973|1|0|0.0|null
TIC 8200881|46.4984|G9III|9.012186014677964|4975.0|0.8219134827802325|null|156.970905694|36.70727714588|null|null|null|null|1|0|0.5|1.42
TIC 432698066|41.2815|A6V|3.0732001047500206|8123.0|1.978306649395854|null|14.18832360396|38.4992742994|null|null|null|null|1|1|51.8|9.03
TIC 311092847|13.9204|F9IV-V|1.6475839697987589|5996.0|1.1299532651901243|6.574857711791992|54.2183|0.401603|4.141093254089356|4.141093254089356|4.141093254089356|4.141093254089356|0|0|null|null
TIC 138128530|14.32459533018192|F5V+F6V|1.415217576461088|6386.0|1.34|2.84|197.497092|17.52943|null|null|null|null|1|0|0.5|0.6800000000000006
TIC 350347140|28.9011|F2III|2.082314039753514|7022.0|1.61|1.45|166.254327|7.336022|4.555181503295898|4.555181503295898|4.555181503295898|4.555181503295898|1|1|4.9|6.34
